iter	MultiClass
0	0.9231767881
1	0.7691032027
2	0.6783388728
3	0.6040331072
4	0.5293243124
5	0.4747096381
6	0.4268784342
7	0.3880789791
8	0.3534092992
9	0.3283231877
10	0.3050942917
11	0.2794209131
12	0.2609096497
13	0.2434340009
14	0.2304606296
15	0.2143902942
16	0.2000341554
17	0.1870664576
18	0.1746030417
19	0.1620987174
20	0.1532496909
21	0.1456262655
22	0.1375975433
23	0.1277984054
24	0.1228910604
25	0.1180940651
26	0.1123980192
27	0.1077960065
28	0.1043653025
29	0.09971086505
30	0.0953344268
31	0.0916106754
32	0.08789205911
33	0.08501051497
34	0.08144384087
35	0.07743997443
36	0.07458673207
37	0.07146673009
38	0.0686714796
39	0.06562812284
40	0.06314548083
41	0.06138203771
42	0.05938719982
43	0.05693163279
44	0.05541970999
45	0.05345222853
46	0.05157621315
47	0.05023339002
48	0.04849156277
49	0.04722978221
50	0.04590801563
51	0.04560841838
52	0.04423043088
53	0.04274654553
54	0.04176489934
55	0.04070286383
56	0.03956220082
57	0.03870730732
58	0.03751677282
59	0.03656776522
60	0.03583158974
61	0.03505987773
62	0.03422309793
63	0.03358701221
64	0.03271405816
65	0.03191816012
66	0.03142205367
67	0.03091538131
68	0.03035140337
69	0.02976608548
70	0.02916003236
71	0.02871105692
72	0.02817297138
73	0.02787003159
74	0.02715605706
75	0.02665694545
76	0.02613633192
77	0.02579417802
78	0.02529844455
79	0.0247524788
80	0.0243661877
81	0.02377420758
82	0.02327890523
83	0.02300711164
84	0.02273446676
85	0.02233173437
86	0.02207966934
87	0.02178555361
88	0.0215527891
89	0.02132614899
90	0.02097180037
91	0.02074541044
92	0.02053658457
93	0.02025715166
94	0.02001718911
95	0.01980241843
96	0.01955332981
97	0.0193558912
98	0.01912758375
99	0.01885181811
100	0.01861066375
101	0.01830014707
102	0.01811295728
103	0.01787330245
104	0.01760953253
105	0.01739411542
106	0.01719398217
107	0.0169642129
108	0.01679458358
109	0.01665326108
110	0.01649097042
111	0.0163400813
112	0.01617601865
113	0.01597658745
114	0.01584493198
115	0.01567311492
116	0.01550712605
117	0.01532224076
118	0.01515515803
119	0.01495963143
120	0.014734019
121	0.01456754813
122	0.01436880088
123	0.01423649476
124	0.01407883098
125	0.01391710923
126	0.01378949097
127	0.01360515974
128	0.01348319594
129	0.01332300482
130	0.01320008653
131	0.01309020479
132	0.01297585668
133	0.01286146953
134	0.01274239303
135	0.0126889999
136	0.01257257226
137	0.01247431579
138	0.01236468119
139	0.01222873138
140	0.012147442
141	0.01206241197
142	0.01193097309
143	0.01183823778
144	0.01176374997
145	0.01169529679
146	0.01162210792
147	0.01151822197
148	0.01137109952
149	0.01130080737
150	0.01122565961
151	0.01114215239
152	0.01106724211
153	0.01097113722
154	0.0108911056
155	0.01081699156
156	0.01072828411
157	0.01064600394
158	0.01055776007
159	0.01049029324
160	0.01042907674
161	0.01036835744
162	0.01028702728
163	0.01019491146
164	0.01011590476
165	0.0100604671
166	0.009977530087
167	0.009901078851
168	0.009857239458
169	0.009787498719
170	0.009716742848
171	0.009662922166
172	0.009604625931
173	0.009558544457
174	0.009492715399
175	0.0094513993
176	0.009391597569
177	0.009323495122
178	0.009269476819
179	0.009236003815
180	0.009185025162
181	0.009097188481
182	0.009053181148
183	0.008990480944
184	0.00895143088
185	0.008860008324
186	0.008809933437
187	0.008758075212
188	0.008702215707
189	0.008656523048
190	0.008595342995
191	0.008558926912
192	0.008497090691
193	0.008465214679
194	0.00840231099
195	0.008360950025
196	0.008310943253
197	0.008266657299
198	0.008199595005
199	0.008160725118
200	0.008124495621
201	0.00804941925
202	0.007984378084
203	0.007941848427
204	0.007894720646
205	0.007860395983
206	0.007828891662
207	0.007792408937
208	0.007745326503
209	0.00768947817
210	0.007650614362
211	0.007609053887
212	0.007564625765
213	0.007516005321
214	0.007482596904
215	0.007444280005
216	0.0074179824
217	0.00738158202
218	0.00735643948
219	0.00732188244
220	0.00730094184
221	0.007269269066
222	0.007235089961
223	0.007208142756
224	0.007173710986
225	0.007132114815
226	0.007090436356
227	0.007041698509
228	0.007012637115
229	0.006989035699
230	0.006949383446
231	0.006919539086
232	0.006871041025
233	0.006827649053
234	0.006782802204
235	0.006731739762
236	0.006704060241
237	0.006657819761
238	0.006618435107
239	0.006592128256
240	0.006560674388
241	0.006506436074
242	0.006473681346
243	0.006443851512
244	0.006421455427
245	0.006376917225
246	0.006358017043
247	0.006331452586
248	0.006303398174
249	0.006277650569
250	0.006237860934
251	0.00621435818
252	0.006185375137
253	0.006164327189
254	0.006147371663
255	0.006125718241
256	0.006104793724
257	0.006075280165
258	0.00605228277
259	0.006018390197
260	0.005993735041
261	0.005967547521
262	0.005947679664
263	0.005932886341
264	0.005904734316
265	0.005879997093
266	0.00585813437
267	0.005832492495
268	0.00581732268
269	0.005796627075
270	0.005763778679
271	0.005749347813
272	0.005716893493
273	0.005693435102
274	0.005670022553
275	0.005651176841
276	0.005631145462
277	0.005603994896
278	0.0055819914
279	0.005553613223
280	0.005537430153
281	0.005514823272
282	0.00548248182
283	0.005457191312
284	0.005426928518
285	0.005410252092
286	0.005374719073
287	0.00535647228
288	0.005335473982
289	0.005310518998
290	0.005289192649
291	0.00527321389
292	0.005252020644
293	0.005235554714
294	0.005207211276
295	0.005196155366
296	0.005163485705
297	0.005139997296
298	0.005118578313
299	0.005103310315
300	0.005076711237
301	0.005052379154
302	0.005036821231
303	0.005011384767
304	0.004991485713
305	0.004973276504
306	0.00495372969
307	0.00493526307
308	0.004915052481
309	0.00489226045
310	0.004865641138
311	0.004845486648
312	0.004830259584
313	0.004809920861
314	0.004785635725
315	0.004770569372
316	0.004749553488
317	0.004736750997
318	0.004712276952
319	0.004693618994
320	0.004680324815
321	0.00466247025
322	0.004642548521
323	0.004630241542
324	0.004618870305
325	0.004590218319
326	0.004573137114
327	0.004558584861
328	0.004536991426
329	0.00452257253
330	0.004511380235
331	0.004494872236
332	0.004485124945
333	0.004469915939
334	0.004454574417
335	0.004439553917
336	0.004422656597
337	0.004407853766
338	0.004395524741
339	0.004385529585
340	0.00436863534
341	0.004354442705
342	0.004343614422
343	0.004323065024
344	0.004304413317
345	0.00429483931
346	0.004274350806
347	0.004267133331
348	0.004246804291
349	0.004235066313
350	0.004220222737
351	0.004204690049
352	0.004188601746
353	0.004169720219
354	0.004155794456
355	0.004146458695
356	0.004132739139
357	0.004120861808
358	0.004106243907
359	0.004096617032
360	0.004089535258
361	0.00408032694
362	0.004071441368
363	0.004054244547
364	0.004041866266
365	0.004031240842
366	0.004020225935
367	0.00400406478
368	0.003991087955
369	0.003982087863
370	0.003969651849
371	0.003951914125
372	0.00393879569
373	0.003928034708
374	0.003914731572
375	0.003900831052
376	0.003891575072
377	0.003877286654
378	0.003865832657
379	0.003855312295
380	0.00384565626
381	0.003835804806
382	0.003821986947
383	0.003806969116
384	0.003800791695
385	0.003788041708
386	0.003774878528
387	0.003769140715
388	0.003762112514
389	0.003754680759
390	0.003742762585
391	0.00373420836
392	0.003722853728
393	0.003712520578
394	0.003702945626
395	0.003688455272
396	0.003673944605
397	0.003654811221
398	0.003644481167
399	0.003633681735
400	0.003623650942
401	0.003617396423
402	0.003607411949
403	0.003598859263
404	0.003586807948
405	0.003571356393
406	0.003561089374
407	0.003553584831
408	0.003544372143
409	0.003536680183
410	0.003529715159
411	0.003520368081
412	0.00351282278
413	0.003503660696
414	0.003497469537
415	0.003487651737
